Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,SM_count,CRISPR_count,BIM_count,white_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,white_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
1,3,17,17,17,17,44,7,7,NA,1.00E+06,4.40E+08,7.00E+07,7.00E+07,0,5.10E+08,0.321233382,0.146128036,0.146128036,-0.175105346,-0.175105346
1,3,18,18,18,18,25,0,0,NA,1.00E+06,2.50E+08,1,1,0,2.50E+08,-0.274157849,-7.477121255,-7.477121255,-7.202963405,-7.202963405
1,3,19,19,19,19,12,5,5,NA,1.00E+06,1.20E+08,5.00E+07,5.00E+07,0,1.70E+08,-0.151267675,-0.301029996,-0.301029996,-0.14976232,-0.14976232
1,3,20,20,20,20,18,0,0,NA,1.00E+06,1.80E+08,1,1,0,1.80E+08,-0.191885526,-7.301029996,-7.301029996,-7.109144469,-7.109144469
1,3,21,21,21,21,20,0,0,NA,1.00E+06,2.00E+08,1,1,0,2.00E+08,-0.130333768,-7.301029996,-7.301029996,-7.170696227,-7.170696227
1,3,22,22,22,22,31,3,3,NA,1.00E+06,3.10E+08,3.00E+07,3.00E+07,0,3.40E+08,0.412180448,0.477121255,0.477121255,0.064940807,0.064940807
1,3,23,23,23,23,17,3,3,NA,1.00E+06,1.70E+08,3.00E+07,3.00E+07,0,2.00E+08,-0.274701057,0,0,0.274701057,0.274701057
1,3,24,24,24,24,66,5,5,NA,1.00E+06,6.60E+08,5.00E+07,5.00E+07,0,7.10E+08,0.439332694,7.698970004,7.698970004,7.259637311,7.259637311
1_control,0,1,1,ancestral,1,8,24,24,NA,10000,8.00E+05,2400000,2400000,0,3200000,,,,0,0
1_control,0,2,2,ancestral,2,13,12,12,NA,10000,1300000,1200000,1200000,0,2500000,,,,0,0
1_control,0,3,3,ancestral,3,16,18,18,NA,10000,1600000,1800000,1800000,0,3400000,,,,0,0
1_control,0,4,4,ancestral,4,10,21,21,NA,10000,1.00E+06,2100000,2100000,0,3100000,,,,0,0
1_control,0,5,5,ancestral,5,27,28,28,NA,10000,2700000,2800000,2800000,0,5500000,,,,0,0
1_control,0,6,6,ancestral,6,20,12,12,NA,10000,2.00E+06,1200000,1200000,0,3200000,,,,0,0
1_control,0,7,7,ancestral,7,25,31,31,NA,10000,2500000,3100000,3100000,0,5600000,,,,0,0
1_control,0,8,8,ancestral,8,6,34,34,NA,10000,6.00E+05,3400000,3400000,0,4.00E+06,,,,0,0
1_control,0,9,9,ancestral,9,15,9,9,NA,10000,1500000,9.00E+05,9.00E+05,0,2400000,,,,0,0
1_control,0,10,10,ancestral,10,11,14,14,NA,10000,1100000,1400000,1400000,0,2500000,,,,0,0
1_control,0,11,11,ancestral,11,11,12,12,NA,10000,1100000,1200000,1200000,0,2300000,,,,0,0
1_control,0,12,12,ancestral,12,14,19,19,NA,10000,1400000,1900000,1900000,0,3300000,,,,0,0
1_control,0,13,13,ancestral,13,29,10,10,NA,10000,2900000,1.00E+06,1.00E+06,0,3900000,,,,0,0
1_control,0,14,14,ancestral,14,14,10,10,NA,10000,1400000,1.00E+06,1.00E+06,0,2400000,,,,0,0
1_control,0,15,15,ancestral,15,29,20,20,NA,10000,2900000,2.00E+06,2.00E+06,0,4900000,,,,0,0
1_control,0,16,16,ancestral,16,14,30,30,NA,10000,1400000,3.00E+06,3.00E+06,0,4400000,,,,0,0
1_control,0,17,17,ancestral,17,11,11,11,NA,10000,1100000,1100000,1100000,0,2200000,,,,0,0
1_control,0,18,18,ancestral,18,27,21,21,NA,10000,2700000,2100000,2100000,0,4800000,,,,0,0
1_control,0,19,19,ancestral,19,15,7,7,NA,10000,1500000,7.00E+05,7.00E+05,0,2200000,,,,0,0
1_control,0,20,20,ancestral,20,16,13,13,NA,10000,1600000,1300000,1300000,0,2900000,,,,0,0
1_control,0,21,21,ancestral,21,7,15,15,NA,10000,7.00E+05,1500000,1500000,0,2200000,,,,0,0
1_control,0,22,22,ancestral,22,14,16,16,NA,10000,1400000,1600000,1600000,0,3.00E+06,,,,0,0
1_control,0,23,23,ancestral,23,11,19,19,NA,10000,1100000,1900000,1900000,0,3.00E+06,,,,0,0
1_control,0,24,24,ancestral,24,4,6,6,NA,10000,4.00E+05,6.00E+05,6.00E+05,0,1.00E+06,,,,0,0
1_control,1,1,1,ancestral,1,36,50,50,NA,1.00E+06,3.60E+08,5.00E+08,5.00E+08,0,8.60E+08,2.653212514,2.318758763,2.318758763,-0.334453751,-0.334453751
1_control,1,2,2,ancestral,2,17,6,6,NA,1.00E+06,1.70E+08,6.00E+07,6.00E+07,0,2.30E+08,2.116505569,1.698970004,1.698970004,-0.417535565,-0.417535565
1_control,1,3,3,ancestral,3,14,27,27,NA,1.00E+06,1.40E+08,2.70E+08,2.70E+08,0,4.10E+08,1.942008053,2.176091259,2.176091259,0.234083206,0.234083206
1_control,1,4,4,ancestral,4,24,52,52,NA,1.00E+06,2.40E+08,5.20E+08,5.20E+08,0,7.60E+08,2.380211242,2.393784049,2.393784049,0.013572807,0.013572807
1_control,1,5,5,ancestral,5,26,28,28,NA,1.00E+06,2.60E+08,2.80E+08,2.80E+08,0,5.40E+08,1.983609584,2,2,0.016390416,0.016390416
1_control,1,6,6,ancestral,6,12,18,18,NA,1.00E+06,1.20E+08,1.80E+08,1.80E+08,0,3.00E+08,1.77815125,2.176091259,2.176091259,0.397940009,0.397940009
1_control,1,7,7,ancestral,7,11,9,9,NA,1.00E+06,1.10E+08,9.00E+07,9.00E+07,0,2.00E+08,1.643452676,1.462880816,1.462880816,-0.180571861,-0.180571861
1_control,1,8,8,ancestral,8,19,32,32,NA,1.00E+06,1.90E+08,3.20E+08,3.20E+08,0,5.10E+08,2.500602351,1.973671061,1.973671061,-0.526931289,-0.526931289
1_control,1,9,9,ancestral,9,9,13,13,NA,1.00E+06,9.00E+07,1.30E+08,1.30E+08,0,2.20E+08,1.77815125,2.159700843,2.159700843,0.381549592,0.381549592
1_control,1,10,10,ancestral,10,12,15,15,NA,1.00E+06,1.20E+08,1.50E+08,1.50E+08,0,2.70E+08,2.037788561,2.029963223,2.029963223,-0.007825338,-0.007825338
1_control,1,11,11,ancestral,11,15,15,15,NA,1.00E+06,1.50E+08,1.50E+08,1.50E+08,0,3.00E+08,2.134698574,2.096910013,2.096910013,-0.037788561,-0.037788561
1_control,1,12,12,ancestral,12,18,23,23,NA,1.00E+06,1.80E+08,2.30E+08,2.30E+08,0,4.10E+08,2.109144469,2.082974235,2.082974235,-0.026170234,-0.026170234
1_control,1,13,13,ancestral,13,15,11,11,NA,1.00E+06,1.50E+08,1.10E+08,1.10E+08,0,2.60E+08,1.713693261,2.041392685,2.041392685,0.327699424,0.327699424
1_control,1,14,14,ancestral,14,18,26,26,NA,1.00E+06,1.80E+08,2.60E+08,2.60E+08,0,4.40E+08,2.109144469,2.414973348,2.414973348,0.305828879,0.305828879
1_control,1,15,15,ancestral,15,22,10,10,NA,1.00E+06,2.20E+08,1.00E+08,1.00E+08,0,3.20E+08,1.880024683,1.698970004,1.698970004,-0.181054679,-0.181054679
1_control,1,16,16,ancestral,16,13,22,22,NA,1.00E+06,1.30E+08,2.20E+08,2.20E+08,0,3.50E+08,1.967815317,1.865301426,1.865301426,-0.102513891,-0.102513891
1_control,1,17,17,ancestral,17,19,17,17,NA,1.00E+06,1.90E+08,1.70E+08,1.70E+08,0,3.60E+08,2.237360916,2.189056236,2.189056236,-0.04830468,-0.04830468
1_control,1,18,18,ancestral,18,17,23,23,NA,1.00E+06,1.70E+08,2.30E+08,2.30E+08,0,4.00E+08,1.799085157,2.039508541,2.039508541,0.240423384,0.240423384
1_control,1,19,19,ancestral,19,13,9,9,NA,1.00E+06,1.30E+08,9.00E+07,9.00E+07,0,2.20E+08,1.937852093,2.109144469,2.109144469,0.171292376,0.171292376
1_control,1,20,20,ancestral,20,27,23,23,NA,1.00E+06,2.70E+08,2.30E+08,2.30E+08,0,5.00E+08,2.227243782,2.247784484,2.247784484,0.020540702,0.020540702
1_control,1,21,21,ancestral,21,11,4,4,NA,1.00E+06,1.10E+08,4.00E+07,4.00E+07,0,1.50E+08,2.196294645,1.425968732,1.425968732,-0.770325913,-0.770325913
1_control,1,22,22,ancestral,22,9,23,23,NA,1.00E+06,9.00E+07,2.30E+08,2.30E+08,0,3.20E+08,1.808114474,2.157607853,2.157607853,0.34949338,0.34949338
1_control,1,23,23,ancestral,23,10,18,18,NA,1.00E+06,1.00E+08,1.80E+08,1.80E+08,0,2.80E+08,1.958607315,1.976518904,1.976518904,0.017911589,0.017911589
1_control,1,24,24,ancestral,24,33,8,8,NA,1.00E+06,3.30E+08,8.00E+07,8.00E+07,0,4.10E+08,2.916453949,2.124938737,2.124938737,-0.791515212,-0.791515212
1_control,2,1,1,ancestral,1,52,49,49,NA,1.00E+06,5.20E+08,4.90E+08,4.90E+08,0,1.01E+09,0.159700843,-0.008773924,-0.008773924,-0.168474767,-0.168474767
1_control,2,2,2,ancestral,2,85,17,17,NA,1.00E+06,8.50E+08,1.70E+08,1.70E+08,0,1.02E+09,0.698970004,0.452297671,0.452297671,-0.246672333,-0.246672333
1_control,2,3,3,ancestral,3,88,4,4,NA,1.00E+06,8.80E+08,4.00E+07,4.00E+07,0,9.20E+08,0.798354636,-0.829303773,-0.829303773,-1.627658409,-1.627658409
1_control,2,4,4,ancestral,4,206,12,12,NA,1.00E+06,2.06E+09,1.20E+08,1.20E+08,0,2.18E+09,0.933655979,-0.636822098,-0.636822098,-1.570478076,-1.570478076
1_control,2,5,5,ancestral,5,72,24,24,NA,1.00E+06,7.20E+08,2.40E+08,2.40E+08,0,9.60E+08,0.442359148,-0.06694679,-0.06694679,-0.509305938,-0.509305938
1_control,2,6,6,ancestral,6,26,3,3,NA,1.00E+06,2.60E+08,3.00E+07,3.00E+07,0,2.90E+08,0.335792102,-0.77815125,-0.77815125,-1.113943352,-1.113943352
1_control,2,7,7,ancestral,7,23,0,0,NA,1.00E+06,2.30E+08,1,1,0,2.30E+08,0.320335151,-7.954242509,-7.954242509,-8.27457766,-8.27457766
1_control,2,8,8,ancestral,8,23,6,6,NA,1.00E+06,2.30E+08,6.00E+07,6.00E+07,0,2.90E+08,0.082974235,-0.726998728,-0.726998728,-0.809972963,-0.809972963
1_control,2,9,9,ancestral,9,29,2,2,NA,1.00E+06,2.90E+08,2.00E+07,2.00E+07,0,3.10E+08,0.508155488,-0.812913357,-0.812913357,-1.321068845,-1.321068845
1_control,2,10,10,ancestral,10,73,12,12,NA,1.00E+06,7.30E+08,1.20E+08,1.20E+08,0,8.50E+08,0.784141614,-0.096910013,-0.096910013,-0.881051627,-0.881051627
1_control,2,11,11,ancestral,11,52,10,10,NA,1.00E+06,5.20E+08,1.00E+08,1.00E+08,0,6.20E+08,0.539912085,-0.176091259,-0.176091259,-0.716003344,-0.716003344
1_control,2,12,12,ancestral,12,62,2,2,NA,1.00E+06,6.20E+08,2.00E+07,2.00E+07,0,6.40E+08,0.537119184,-1.06069784,-1.06069784,-1.597817025,-1.597817025
1_control,2,13,13,ancestral,13,90,3,3,NA,1.00E+06,9.00E+08,3.00E+07,3.00E+07,0,9.30E+08,0.77815125,-0.56427143,-0.56427143,-1.342422681,-1.342422681
1_control,2,14,14,ancestral,14,80,0,0,NA,1.00E+06,8.00E+08,1,1,0,8.00E+08,0.647817482,-8.414973348,-8.414973348,-9.06279083,-9.06279083
1_control,2,15,15,ancestral,15,128,30,30,NA,1.00E+06,1.28E+09,3.00E+08,3.00E+08,0,1.58E+09,0.764787289,0.477121255,0.477121255,-0.287666034,-0.287666034
1_control,2,16,16,ancestral,16,55,11,11,NA,1.00E+06,5.50E+08,1.10E+08,1.10E+08,0,6.60E+08,0.626419337,-0.301029996,-0.301029996,-0.927449333,-0.927449333
1_control,2,17,17,ancestral,1,45,15,15,NA,1.00E+06,4.50E+08,1.50E+08,1.50E+08,0,6.00E+08,0.374458913,-0.054357662,-0.054357662,-0.428816575,-0.428816575
1_control,2,18,18,ancestral,4,72,5,5,NA,1.00E+06,7.20E+08,5.00E+07,5.00E+07,0,7.70E+08,0.626883575,-0.662757832,-0.662757832,-1.289641407,-1.289641407
1_control,2,19,19,ancestral,7,17,1,1,NA,1.00E+06,1.70E+08,1.00E+07,1.00E+07,0,1.80E+08,0.116505569,-0.954242509,-0.954242509,-1.070748079,-1.070748079
1_control,2,20,20,ancestral,10,46,46,46,NA,1.00E+06,4.60E+08,4.60E+08,4.60E+08,0,9.20E+08,0.231394068,0.301029996,0.301029996,0.069635928,0.069635928
1_control,2,21,21,ancestral,14,23,2,2,NA,1.00E+06,2.30E+08,2.00E+07,2.00E+07,0,2.50E+08,0.320335151,-0.301029996,-0.301029996,-0.621365147,-0.621365147
1_control,2,22,22,ancestral,17,45,2,2,NA,1.00E+06,4.50E+08,2.00E+07,2.00E+07,0,4.70E+08,0.698970004,-1.06069784,-1.06069784,-1.759667845,-1.759667845
1_control,2,23,23,ancestral,19,75,1,1,NA,1.00E+06,7.50E+08,1.00E+07,1.00E+07,0,7.60E+08,0.875061263,-1.255272505,-1.255272505,-2.130333768,-2.130333768
1_control,2,24,24,ancestral,22,108,2,2,NA,1.00E+06,1.08E+09,2.00E+07,2.00E+07,0,1.10E+09,0.514909816,-0.602059991,-0.602059991,-1.116969807,-1.116969807
1_control,3,1,1,ancestral,1,12,17,17,NA,1.00E+06,1.20E+08,1.70E+08,1.70E+08,0,2.90E+08,-0.636822098,-0.459747159,-0.459747159,0.177074939,0.177074939
