Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,total_CFU,Strain,Titre
24_control,1,7,Jan-24,ancestral,19,6.10E+08,PFU,400
24_control,1,8,Jan-24,ancestral,22,3.90E+08,PFU,0
24_control,2,1,Jan-24,ancestral,1,4.70E+08,PFU,0
24_control,2,2,Jan-24,ancestral,4,8.30E+08,PFU,0
24_control,2,3,Jan-24,ancestral,7,2.69E+09,PFU,0
24_control,2,4,Jan-24,ancestral,10,5.60E+08,PFU,0
24_control,2,5,Jan-24,ancestral,13,1.94E+09,PFU,0
24_control,2,6,Jan-24,ancestral,16,6.10E+08,PFU,0
24_control,2,7,Jan-24,ancestral,19,5.50E+08,PFU,0
24_control,2,8,Jan-24,ancestral,22,1.01E+09,PFU,0
24_control,3,1,Jan-24,ancestral,1,4.20E+08,PFU,0
24_control,3,2,Jan-24,ancestral,4,1.04E+09,PFU,0
24_control,3,3,Jan-24,ancestral,7,0,PFU,0
24_control,3,4,Jan-24,ancestral,10,4.70E+08,PFU,0
24_control,3,5,Jan-24,ancestral,13,0,PFU,0
24_control,3,6,Jan-24,ancestral,16,0,PFU,0
24_control,3,7,Jan-24,ancestral,19,1.29E+09,PFU,0
24_control,3,8,Jan-24,ancestral,22,3.40E+08,PFU,0
3,0,1,01-Mar,1,1,3100000,PFU,2.00E+06
3,0,2,04-Jun,4,4,4500000,PFU,5200000
3,0,3,07-Sep,7,7,3300000,PFU,3200000
3,0,4,Oct-13,10,10,2500000,PFU,2.00E+06
3,0,5,14-16,14,14,2.00E+06,PFU,2400000
3,0,6,17-19,17,17,2200000,PFU,1400000
3,0,7,19-21,19,19,2600000,PFU,5.00E+06
3,0,8,22-24,22,22,2800000,PFU,1200000
3,1,1,01-Mar,1,1,6.28E+09,PFU,4.80E+07
3,1,2,04-Jun,4,4,3.50E+08,PFU,1.00E+07
3,1,3,07-Sep,7,7,2.80E+08,PFU,2200000
3,1,4,Oct-13,10,10,2.50E+08,PFU,3400000
3,1,5,14-16,14,14,3.20E+08,PFU,4800000
3,1,6,17-19,17,17,2.80E+08,PFU,1.80E+07
3,1,7,19-21,19,19,3.10E+08,PFU,420000
3,1,8,22-24,22,22,2.90E+08,PFU,3.80E+08
3,2,1,01-Mar,1,1,7.10E+08,PFU,66000
3,2,2,04-Jun,4,4,6.20E+08,PFU,3200
3,2,3,07-Sep,7,7,7.30E+08,PFU,58000
3,2,4,Oct-13,10,10,5.60E+08,PFU,5200
3,2,5,14-16,14,14,5.90E+08,PFU,120000
3,2,6,17-19,17,17,5.70E+08,PFU,5.00E+05
3,2,7,19-21,19,19,6.60E+08,PFU,5.20E+07
3,2,8,22-24,22,22,6.30E+08,PFU,1.00E+05
3,3,1,01-Mar,1,1,5.90E+08,PFU,1200000
3,3,2,04-Jun,4,4,3.70E+08,PFU,0
3,3,3,07-Sep,7,7,6.10E+08,PFU,2000
3,3,4,Oct-13,10,10,3.60E+08,PFU,160000
3,3,5,14-16,14,14,5.40E+08,PFU,20000
3,3,6,17-19,17,17,2.20E+08,PFU,5.00E+08
3,3,7,19-21,19,19,4.40E+08,PFU,2400000
3,3,8,22-24,22,22,4.70E+08,PFU,140000
6,0,1,01-Jun,1,1,3100000,PFU,1.00E+06
6,0,2,01-Jun,4,4,3400000,PFU,3200000
6,0,3,07-Dec,7,7,1150000,PFU,1.00E+06
6,0,4,07-Dec,10,10,3.00E+06,PFU,4.00E+05
6,0,5,13-18,14,14,2200000,PFU,1800000
6,0,6,13-18,17,17,2100000,PFU,3200000
6,0,7,19-24,19,19,2200000,PFU,1400000
6,0,8,19-24,22,22,2400000,PFU,1.00E+06
6,1,1,01-Jun,1,1,2.50E+08,PFU,3.00E+05
6,1,2,01-Jun,4,4,1.60E+08,PFU,3400000
6,1,3,07-Dec,7,7,4.30E+08,PFU,5.00E+05
6,1,4,07-Dec,10,10,1.05E+09,PFU,1200000
6,1,5,13-18,14,14,4.90E+08,PFU,140000
6,1,6,13-18,17,17,6.70E+08,PFU,240000
6,1,7,19-24,19,19,4.00E+08,PFU,12000
6,1,8,19-24,22,22,4.40E+08,PFU,4400000
6,2,1,01-Jun,1,1,2.40E+08,PFU,6.00E+05
6,2,2,01-Jun,4,4,4.00E+08,PFU,14000
6,2,3,07-Dec,7,7,3.10E+08,PFU,34000
6,2,4,07-Dec,10,10,3.20E+08,PFU,8000
6,2,5,13-18,14,14,1.25E+09,PFU,54000
6,2,6,13-18,17,17,6.10E+08,PFU,18000
6,2,7,19-24,19,19,5.60E+08,PFU,220000
6,2,8,19-24,22,22,1.70E+09,PFU,12000
6,3,1,01-Jun,1,1,1.04E+09,PFU,3.40E+07
6,3,2,01-Jun,4,4,5.20E+08,PFU,3200000
6,3,3,07-Dec,7,7,2.90E+08,PFU,6.00E+05
6,3,4,07-Dec,10,10,1.86E+09,PFU,200
6,3,5,13-18,14,14,3.90E+08,PFU,160000
6,3,6,13-18,17,17,3.00E+08,PFU,14000
6,3,7,19-24,19,19,3.40E+08,PFU,1600000
6,3,8,19-24,22,22,4.10E+08,PFU,30000
